ticker,name,signal_date,balanced_raw_score,balanced_score,value_momentum_raw_score,value_momentum_score,defensive_raw_score,defensive_score,aggressive_raw_score,aggressive_score,ml_signal_date,ml_score,regime,target_exposure,composite_score,factor_scope,rank,name_fundamental,fiscal_period,revenue,operating_income,net_income,equity,shares_outstanding,roe,operating_margin,net_margin,sales_growth,sector,date,adj_close,volume,trading_value,analyst_sector,sector_master_source,valuation_family,sector_master_confidence,universe_sector,corp_code,corp_name,stock_name,dart_industry_code,hm_url,ir_url,dart_sector,total_assets,total_liabilities,current_liabilities,noncurrent_liabilities,ebitda_proxy,net_debt_proxy,financial_data_basis,dart_report_year,borrowings,interest_expense,interest_income,analyst_note_readiness,backlog_evidence,segment_sales_evidence,net_debt_evidence,ebitda_evidence,nav_evidence,guidance_evidence,margin_risk_evidence,dart_table_bridge_count,revenue_segment_bridge_count,ebitda_bridge_count,backlog_bridge_count,nav_bridge_count,eps,bps,current_per,current_pbr,market_cap_proxy,enterprise_value_proxy,current_psr,ev_ebitda_proxy,net_debt_to_equity,earnings_yield,op_income_yield,book_discount_proxy,sector_model,sector_source,sector_rank
096770,에스케이이노베이션(주),2026-06-30,0.3222323180030073,1.2675944790619855,0.0376068588581956,0.3228544639578978,0.323432244485308,0.7761334248615217,0.2980469374117723,0.4469020986392508,2026-05-29,-0.0898882963111868,neutral,0.8,0.7088577101264408,institutional_core_satellite_regime_overlay,15,에스케이이노베이션(주),2025-12,80296054243000.0,448683859000.0,-5436441431000.0,36391495746000.0,170301214.0,0.1134999999999999,0.5628,0.5579999999999999,1.5873,,2026-06-30,94900,342957,33011396350,Energy & Chemicals,kospi200_constituent,ev_ebitda_spread_cycle,0.85,Energy & Chemicals,631518,SK이노베이션(주),SK이노베이션,192,www.SKinnovation.com,,Energy & Chemicals,105608481396000.0,69216985650000.0,41057102110000.0,28159883540000.0,448683859000.0,28159883540000.0,OpenDART CFS annual,2025,,,,1.0,2,3,3,3,3,3,3,436,147,53,53,183,-31922.505443795602,213688.99781301618,-2.9728243031263886,0.4441033509972289,16161585208600.0,44321468748600.0,0.2012749612787969,98.78106345831353,0.7738039605886553,-0.33638045778499054,0.02776236694660643,0.555896649002771,Energy & Chemicals,master/KOSPI200,2.0
004000,롯데정밀화학(주),2026-06-30,0.1922349130826141,0.8119971487879143,0.1221240341176652,0.5319685373508887,0.338832156245796,0.8207843422811713,-0.1136560264026281,-0.227819638791166,2026-05-29,0.1791799044395905,neutral,0.8,0.6311854163294958,institutional_core_satellite_regime_overlay,19,롯데정밀화학(주),2025-12,1752682647758.0,74361152818.0,106092942018.0,2435737106786.0,25800000.0,0.0467,0.0426,0.0588999999999999,0.0469,,2026-06-30,44050,39926,1768049000,Energy & Chemicals,kospi200_constituent,ev_ebitda_spread_cycle,0.85,Energy & Chemicals,157681,롯데정밀화학(주),롯데정밀화학,20119,www.lottefinechem.com,,Energy & Chemicals,2746168414774.0,310431307988.0,249647772905.0,60783535083.0,74361152818.0,60783535083.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,148,41,32,27,48,4112.129535581395,94408.41499170543,10.712211183729641,0.46658976325224993,1136490000000.0,1197273535083.0,0.6484288535941047,16.100793084977372,0.024954883231715016,0.09335140829923712,0.06543053860394724,0.53341023674775,Energy & Chemicals,master/KOSPI200,3.0
268280,미원스페셜티케미칼(주),2026-06-30,0.1658809073711298,0.7196351923970729,-0.0079588271698156,0.2101149387310896,0.58704057674182,1.5404464974153915,-0.3753785305502761,-0.6567450492061101,2026-05-29,-0.3791861026815984,neutral,0.8,0.5621291436518058,institutional_core_satellite_regime_overlay,23,미원스페셜티케미칼(주),2025-12,532122514140.0,65482438995.0,61302751052.0,448498102489.0,5000000.0,0.1275,0.1199,0.1097,0.0324,,2026-06-30,105600,7828,795540100,Energy & Chemicals,kospi200_constituent,ev_ebitda_spread_cycle,0.85,Energy & Chemicals,1234297,미원스페셜티케미칼(주),미원에스씨,201,www.miramer.co.kr,,Energy & Chemicals,549237107801.0,100739005312.0,72259981866.0,28479023446.0,65482438995.0,28479023446.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,171,29,54,36,52,12260.5502104,89699.6204978,8.612990297158515,1.177262505838472,528000000000.0,556479023446.0,0.9922526973949548,8.498141364106653,0.0634986486853609,0.11610369517424242,0.12401977082386363,-0.17726250583847203,Energy & Chemicals,master/KOSPI200,4.0
456040,오씨아이(주),2026-06-30,0.1603262381580156,0.7001679386807382,0.2944497799587667,0.9583403198044256,0.0287123507473927,-0.0783853439396925,0.1735059123609346,0.2427973333367886,2026-05-29,0.3576517074037857,neutral,0.8,0.527588512125999,institutional_core_satellite_regime_overlay,25,오씨아이(주),2025-12,2009429144000.0,440425000.0,-68483852000.0,1164784174000.0,8952495.0,-0.0335,0.0178,-0.0199,-0.0983,,2026-06-30,94500,30358,2870863550,Energy & Chemicals,kospi200_constituent,ev_ebitda_spread_cycle,0.85,Energy & Chemicals,1760738,OCI(주),OCI,20129,www.oci.co.kr,,Energy & Chemicals,2275774798000.0,1110990624000.0,729971485000.0,381019139000.0,440425000.0,381019139000.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,326,90,75,68,93,-7649.69452649792,130107.21301715332,-12.353434463645533,0.7263240661956315,846010777500.0,1227029916500.0,0.4210204574896919,2786.0133200885507,0.3271156558485315,-0.08094914842854942,0.0005205902947258849,0.2736759338043685,Energy & Chemicals,master/KOSPI200,5.0
138930,(주)BNK금융지주,2026-06-30,0.4056481981421722,1.5599391786899364,0.0822330744976941,0.4332695328931782,0.5006168468030584,1.2898672156240096,0.4759714285227465,0.7384946600859027,2026-05-29,0.8077866672094292,neutral,0.8,1.130160354621298,institutional_core_satellite_regime_overlay,8,(주)BNK금융지주,2025-12,687687808398.3301,902681388425.0,836157244944.0,11241835322588.0,310327033.0,0.1105,0.8258,0.8251999999999999,0.8728,,2026-06-30,17050,811368,13879975310,Financials,kospi200_constituent,pbr_roe_capital_return,0.85,Financials,858364,(주)BNK금융지주,BNK금융지주,64992,www.bnkfg.com,,Financials,161095407271012.0,149853571948424.0,,,902681388425.0,11445551360648.0,OpenDART CFS annual,2025,11445551360648.0,-3519432691751.0,6472509546658.0,1.0,3,3,3,3,3,3,3,406,49,155,62,140,2694.438949970562,36225.76871215728,6.3278479552065106,0.47065943956844347,5291075912650.0,16736627273298.0,7.694008601044218,18.54101290655842,1.0181212437484009,0.15803160996894794,0.17060450527025195,0.5293405604315565,Financials,master/KOSPI200,1.0
071050,한국투자금융지주(주),2026-06-30,0.3322702183142596,1.302773955038174,0.1481692056680317,0.5964100180132011,0.257852138060535,0.5859887044315407,0.5665893797387301,0.8870044034221118,2026-05-29,0.9471374586296084,neutral,0.8,0.9470168182301396,institutional_core_satellite_regime_overlay,11,한국투자금융지주(주),2025-12,1857287776673.07,2345329000000.0,2024352000000.0,12099491000000.0,61584243.0,0.2128,0.8872,0.8813,1.3793,,2026-06-30,221000,304883,68156857250,Financials,kospi200_constituent,pbr_roe_capital_return,0.85,Financials,432102,한국투자금융지주(주),한국금융지주,64992,www.koreaholdings.com,,Financials,136161928000000.0,124062437000000.0,,,2345329000000.0,72823535000000.0,OpenDART CFS annual,2025,72823535000000.0,2444451000000.0,4035777000000.0,1.0,3,3,3,3,3,3,3,313,10,128,67,108,32871.26546314777,196470.56471896553,6.723197202364016,1.1248504340389196,13610117703000.0,86433652703000.0,7.3279530904896095,36.853530017750174,6.018727151414882,0.14873875775179987,0.1723224626839952,-0.1248504340389196,Financials,master/KOSPI200,2.0
175330,(주)JB금융지주,2026-06-30,0.2722227580591064,1.0923277342175417,0.0407845578594014,0.3307167899303281,0.7287551654265695,1.9513375788018112,-0.0139850895245407,-0.064473358553996,2026-05-29,0.1661579343100127,neutral,0.8,0.9265735542954472,institutional_core_satellite_regime_overlay,12,(주)JB금융지주,2025-12,590505031035.8099,952314000000.0,730040000000.0,6175172000000.0,189884601.0,0.1993,0.8706,0.8726999999999999,0.1942,,2026-06-30,24800,337605,8347660950,Financials,kospi200_constituent,pbr_roe_capital_return,0.85,Financials,980122,(주)JB금융지주,JB금융지주,64992,www.jbfg.com,,Financials,73123844000000.0,66948672000000.0,,,952314000000.0,2870134000000.0,OpenDART CFS annual,2025,2870134000000.0,-1526918000000.0,3571850000000.0,1.0,3,3,3,3,3,3,3,715,75,287,125,228,3844.6508887784953,32520.657112158347,6.450520662977372,0.7625922168321789,4709138104800.0,7579272104800.0,7.974763731546301,7.958795213343498,0.464786082071884,0.15502624551526192,0.20222681493016978,0.23740778316782107,Financials,master/KOSPI200,3.0
139130,(주)아이엠금융지주,2026-06-30,0.2349207164853981,0.961596581813684,0.0561047177701239,0.3686222338135138,0.3014171035927497,0.7123021345746727,0.2487932646186375,0.3661824376149141,2026-05-29,0.5819022859749969,neutral,0.8,0.7172039635981104,institutional_core_satellite_regime_overlay,14,(주)아이엠금융지주,2025-12,357924577036.39,583241000000.0,457486000000.0,6436768000000.0,160624583.0,0.0678,0.7177,0.6751999999999999,0.5263,,2026-06-30,16810,604184,10186142860,Financials,kospi200_constituent,pbr_roe_capital_return,0.85,Financials,878915,(주)아이엠금융지주,iM금융지주,64992,www.imfngroup.com,,Financials,98860713000000.0,92423945000000.0,,,583241000000.0,,OpenDART CFS annual,2025,,2148536000000.0,3804439000000.0,0.857,0,3,3,3,3,3,3,352,37,138,55,122,2848.1692618619904,40073.36784805848,5.902036871576398,0.4194805902946944,2700099240230.0,2700099240230.0,7.543765959260971,4.6294743343317775,,0.1694330316396187,0.2160072457004648,0.5805194097053056,Financials,master/KOSPI200,4.0
316140,(주)우리금융지주,2026-06-30,0.1203842511102433,0.5601846622764882,-0.0819919679790274,0.0269406715698526,0.4122537300968321,1.03366482379501,0.0648978743518673,0.0648044342197881,2026-05-29,0.4858751451952084,neutral,0.8,0.5333699930226096,institutional_core_satellite_regime_overlay,24,(주)우리금융지주,2025-12,1461700109147.2,3674808000000.0,3227508000000.0,37859248000000.0,734076320.0,0.0469,0.8756,0.7622,0.1712,,2026-06-30,29000,3275950,95076887550,Financials,kospi200_constituent,pbr_roe_capital_return,0.85,Financials,1350869,(주)우리금융지주,우리금융지주,64992,www.woorifg.com/,,Financials,601457286000000.0,563598038000000.0,,,3674808000000.0,,OpenDART CFS annual,2025,,12157974000000.0,21188743000000.0,1.0,2,3,3,3,3,3,3,651,100,236,93,222,4396.692703559761,51573.99437704243,6.595866928912337,0.5622988940509331,21288213280000.0,21288213280000.0,14.564008818758444,5.79301375201099,,0.15161009322619864,0.17262172037013715,0.43770110594906686,Financials,master/KOSPI200,5.0
259960,(주)크래프톤,2026-06-30,0.1948297196050871,0.8210910758931543,0.0004052516021505,0.2308095085249342,0.6026362431835904,1.5856649912110876,-0.213127595177574,-0.3908391834816849,2026-05-29,-0.578348550538508,neutral,0.8,0.5760616201967645,institutional_core_satellite_regime_overlay,22,(주)크래프톤,2025-12,3326553694966.0,1054380980188.0,733703643561.0,7184144206229.0,47403831.0,0.1043,0.3682999999999999,0.2548,0.0943,,2026-06-30,236000,247925,58867748750,Gaming & Internet,kospi200_constituent,per_pipeline_psr,0.85,Communication Services,760971,주식회사 크래프톤,크래프톤,5821,www.krafton.com,www.krafton.com,Gaming & Internet,9433648042482.0,2249503836253.0,1583266779747.0,666237056506.0,1054380980188.0,666237056506.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,215,48,35,33,99,15477.728868812312,151551.97490745,15.247715087937804,1.5572215416138315,11187304116000.0,11853541172506.0,3.3630312755598983,11.242180383785442,0.09273714967028923,0.06558359690174709,0.0942479948033264,-0.5572215416138315,Gaming & Internet,master/KOSPI200,1.0
