ticker,rows,start_date,end_date,first_adj_close,last_adj_close,total_volume,total_trading_value,simple_return
138040,731,2023-01-02,2025-12-30,41550,113100,293458847,21429166859825,1.7220216606498195
138930,731,2023-01-02,2025-12-30,6300,15870,757673319,7319645467754,1.519047619047619
139130,731,2023-01-02,2025-12-30,6750,15550,410845727,3907780120591,1.3037037037037038
139480,731,2023-01-02,2025-12-30,94800,81300,129155058,9999168201666,-0.14240506329113922
161390,731,2023-01-02,2025-12-30,31000,58300,242449936,10258414834086,0.8806451612903226
161890,731,2023-01-02,2025-12-30,40850,62100,160645132,10137047823648,0.5201958384332925
175330,731,2023-01-02,2025-12-30,7870,25650,367442206,5350111361609,2.2592121982210926
180640,731,2023-01-02,2025-12-30,35700,124000,73125185,5691871659246,2.473389355742297
185750,731,2023-01-02,2025-12-30,73297,82900,40110925,4001341982100,0.1310149119336399
192080,731,2023-01-02,2025-12-30,39208,53600,38592372,1783431225486,0.36706794531728226
192820,731,2023-01-02,2025-12-30,73700,163000,87358563,12632030152158,1.2116689280868385
204320,731,2023-01-02,2025-12-30,42350,58700,235211096,9989576856415,0.38606847697756796
207940,731,2023-01-02,2025-12-30,1217132,1695000,36268145,49132998019636,0.39261805621740287
241560,731,2023-01-02,2025-12-30,33150,57700,296735829,14394873482224,0.7405731523378583
251270,731,2023-01-02,2025-12-30,55900,48250,152803655,8479026668195,-0.13685152057245076
259960,731,2023-01-02,2025-12-30,164000,246000,99580354,26133666070097,0.5
267250,731,2023-01-02,2025-12-30,56400,188500,153460568,13805111551809,2.3421985815602837
267260,731,2023-01-02,2025-12-30,40450,774000,247849746,61559328712285,18.134734239802224
267270,731,2023-01-02,2025-12-30,57800,98400,156486548,10600725992000,0.7024221453287198
268280,731,2023-01-02,2025-12-30,154000,140300,769959,110580648700,-0.08896103896103891
271560,731,2023-01-02,2025-12-30,125500,105700,113127449,11895050643836,-0.15776892430278888
272210,731,2023-01-02,2025-12-30,10450,54400,1728373881,51073987406195,4.205741626794258
278470,448,2024-02-27,2025-12-30,63500,231000,379369552,35328187056286,2.6377952755905514
280360,731,2023-01-02,2025-12-30,119500,114600,11745188,1516419453858,-0.041004184100418395
282330,731,2023-01-02,2025-12-30,202000,104800,35374775,4546359631412,-0.48118811881188117
285130,731,2023-01-02,2025-12-30,73200,65500,37527655,2400832261095,-0.10519125683060104
298020,731,2023-01-02,2025-12-30,329500,222500,15511431,5009311410550,-0.32473444613050073
298040,731,2023-01-02,2025-12-30,74300,1781000,73120972,31008850294103,22.970390309555853
298050,731,2023-01-02,2025-12-30,329000,181600,14582560,4886479117400,-0.4480243161094225
300720,731,2023-01-02,2025-12-30,11200,17970,70523309,1060322165305,0.6044642857142857
302440,731,2023-01-02,2025-12-30,73500,48200,129879845,8248635481289,-0.3442176870748299
307950,731,2023-01-02,2025-12-30,95900,332000,86473126,15058964729650,2.461939520333681
316140,731,2023-01-02,2025-12-30,11250,28000,1652484323,26393123484634,1.488888888888889
323410,731,2023-01-02,2025-12-30,24150,21600,813672249,20920624225355,-0.10559006211180122
326030,731,2023-01-02,2025-12-30,71400,124600,148937762,14979345631900,0.7450980392156863
329180,731,2023-01-02,2025-12-30,117500,509000,167421631,44004510660734,3.3319148936170215
352820,731,2023-01-02,2025-12-30,169500,330000,188179707,44084760238286,0.9469026548672566
361610,731,2023-01-02,2025-12-30,53900,25050,227355993,14602733623381,-0.5352504638218925
373220,731,2023-01-02,2025-12-30,446000,368500,222924931,96396481991636,-0.17376681614349776
375500,731,2023-01-02,2025-12-30,32250,41150,144032616,5609787500577,0.27596899224806193
377300,731,2023-01-02,2025-12-30,53700,49100,438712176,23193661975569,-0.08566108007448792
383220,731,2023-01-02,2025-12-30,140000,68500,90118625,7956762810020,-0.5107142857142857
402340,731,2023-01-02,2025-12-30,32900,368000,311350295,32767948907099,10.185410334346505
443060,401,2024-05-08,2025-12-30,163900,193500,131636355,21080135210189,0.1805979255643686
450080,515,2023-11-17,2025-12-30,57200,52100,573249418,61994702870975,-0.08916083916083917
454910,545,2023-10-05,2025-12-30,51400,78000,583086116,43356471883515,0.5175097276264591
456040,631,2023-05-30,2025-12-30,123000,59600,32501619,3237269561359,-0.5154471544715447
457190,630,2023-05-31,2025-12-30,21580,59200,533997163,27511368351835,1.7432808155699724
483650,150,2025-05-22,2025-12-30,110100,147500,47537609,7497191269560,0.3396911898274295
