signal_date,universe_equal_weight_index,market_return,ma_200d,ret_60d,vol_60d,drawdown_120d,regime,target_exposure
2012-11-30,2.628492097367638,0.0015754889107628324,2.542801274272231,0.04054031827119631,0.11875828394533376,-0.0320413462960083,bull,1.0
2012-12-28,2.7051428994006756,0.005784053249721752,2.5437761482503656,0.0037187855177001072,0.0978505893426217,-0.0038142090656798633,neutral,0.8
2013-01-31,2.701462832841141,-0.0038024153054924473,2.5562141998388244,0.029619093192524648,0.08936331081320845,-0.018693424103116696,neutral,0.8
2013-02-28,2.769804806868928,0.01054885922312511,2.57370822924909,0.05542208264783466,0.08339849364494406,0.0,bull,1.0
2013-03-29,2.787496812973811,0.006284688006699188,2.6129053086180813,0.01779925218624956,0.08292018548221869,0.0,neutral,0.8
2013-04-30,2.7717889688233353,0.009036632661209291,2.64233402407711,0.02955752091682129,0.1034697022906179,-0.0056351074833043135,neutral,0.8
2013-05-31,2.8170297871741,0.003273497846534383,2.682563567796892,0.020006745695101413,0.10712355508765269,-0.004856063880932182,neutral,0.8
2013-06-28,2.6259915420785003,0.018949900205293323,2.693543800504814,-0.047258634469628524,0.14395063338996764,-0.07234223390273498,bear,0.5
2013-07-31,2.8242700121665236,0.0044401545290104465,2.6989615377722833,0.018725308895472192,0.1486849598173342,-0.0022983820168096525,neutral,0.8
2013-08-30,2.750832862153744,0.0028670748395324777,2.714895451180926,0.008961784312935928,0.14817372654850053,-0.03186622841301201,neutral,0.8
2013-09-30,2.92416291835668,-0.007712163729112677,2.739684650747881,0.10514458829636597,0.11890293152649904,-0.007712163729112653,bull,1.0
2013-10-31,2.9101022031925328,-0.011582379734848396,2.762391898942031,0.030390929569855896,0.10774811939152652,-0.012483538312610176,bull,1.0
2013-11-29,2.911154805824207,0.001648478478470009,2.778972116718289,0.0582812376121391,0.10311057357283457,-0.012126347274696303,bull,1.0
2013-12-30,2.9034949621137485,0.0077088544058819515,2.7896787650068733,0.0013757767447462044,0.10083716759708948,-0.01472564490408268,neutral,0.8
2014-01-29,2.864802322127305,0.014976531547750723,2.8019128125579145,-0.015334632217698263,0.10521654581921105,-0.027855637002242917,neutral,0.8
2014-02-28,2.900507207992282,0.0009339974482748603,2.81696989391911,-0.0036575168763348653,0.09744705709575366,-0.015739511831225572,neutral,0.8
2014-03-31,2.9162047067940264,-0.0001444007567628212,2.827446331580372,0.01778645629931419,0.10012403442390087,-0.009648321937817284,neutral,0.8
2014-04-30,2.9157661205941463,0.004369575376237964,2.859109187924136,0.041992726724566776,0.08282244002996146,-0.013045383710080793,bull,1.0
2014-05-30,2.919946518641919,-0.006835676706361835,2.8747941743720338,0.016298910616753703,0.09168252481181417,-0.015706688302675853,neutral,0.8
2014-06-30,2.9581888802719964,0.007872892896601535,2.8895523013041218,0.014396854027482142,0.08556066097104931,-0.002815458776491697,neutral,0.8
2014-07-31,3.0697822176790366,0.003982644888974145,2.9030468753922194,0.055544302236200105,0.081261819754409,0.0,bull,1.0
2014-08-29,3.1523542845857375,-0.00469102046792145,2.923219283530474,0.08270472372270876,0.07694487114337924,-0.0046910204679214695,bull,1.0
2014-09-30,3.12560009221729,-0.0022889970352416448,2.951570962589456,0.048239130097164296,0.07492201641599713,-0.021112019850058394,bull,1.0
2014-10-31,3.0018645788666847,-0.005954389571402804,2.9703217188105224,-0.022124578877684153,0.11105685276960842,-0.059864004481165245,neutral,0.8
2014-11-28,3.0082278691261277,-0.005373654922998549,2.984659395155796,-0.04572024666274144,0.11155171944533167,-0.05787112370134828,neutral,0.8
2014-12-30,2.88110395786479,-0.00716291533336021,2.9892321298868114,-0.06102247755901724,0.12110911791220745,-0.09768430038803488,bear,0.5
2015-01-30,2.966494730985452,-5.584276252069153e-05,2.989234138359048,0.0035249161724388856,0.10901560054977788,-0.07094127538248163,neutral,0.8
2015-02-27,3.103202658212531,-0.00029148137957053777,2.9974234647945597,0.026028363625187234,0.10786248527719071,-0.0281265381142638,neutral,0.8
2015-03-31,3.227154070637259,0.006319324890585059,3.0214742878146557,0.12011024865237041,0.09645981370859034,0.0,bull,1.0
2015-04-30,3.4642454326109595,-0.009108947303538683,3.0711535323597223,0.16558270942594566,0.09220247472318839,-0.01602237607291379,bull,1.0
2015-05-29,3.5094732918213576,0.0032552272767771484,3.1138544451814676,0.12468750893272906,0.10872375775284579,-0.014808387264085843,bull,1.0
2015-06-30,3.5081528928987527,0.009884951035345797,3.152733188297176,0.08607824531868968,0.12144907948294706,-0.015179054266182046,bull,1.0
2015-07-31,3.4187327451938434,0.0059984256553710525,3.194842491529667,0.005863916530565616,0.1353796072325247,-0.04557144778839006,neutral,0.8
2015-08-31,3.3200166939931597,0.00047418027382940424,3.227716519571749,-0.030097288209325668,0.17848362784378416,-0.07313061220683403,neutral,0.8
2015-09-30,3.3645236059418857,0.003557198203986821,3.2592370026760347,-0.06070534509744974,0.2003965502997474,-0.06070534509744974,neutral,0.8
2015-10-30,3.387244343103289,-0.0100954907691798,3.314925314884357,0.004381493267810566,0.1940261946256138,-0.054362257792768154,neutral,0.8
2015-11-30,3.3690877271467947,-0.013111598183136527,3.36146249241864,0.030081033632139098,0.16404624815027005,-0.059431151436116214,bull,1.0
2015-12-30,3.326638052932885,-0.0008345586160430501,3.387762115869843,-0.024038537290785644,0.13161016243140888,-0.0648543049474044,neutral,0.8
2016-01-29,3.27894603347675,0.005564425299236433,3.389814534315738,-0.04303415700325297,0.1533642429708432,-0.05086485365994986,bear,0.5
2016-02-29,3.2830432270204866,0.00046386012584572595,3.370504564982161,-0.038316141992002284,0.17236104746508552,-0.049118945920846535,bear,0.5
2016-03-31,3.4447172692177848,-0.0018195059268125142,3.3631005756197228,0.03549505969872402,0.16486575573504136,-0.005307085474580475,bull,1.0
