strategy_id,strategy_name,category,period,start_date,end_date,days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,win_rate,benchmark_total_return,active_total_return,tracking_error,information_ratio
price_momentum,Price Momentum,price,validation_2017_2021,2017-01-02,2021-12-30,1229,1.3433007431169037,0.1907793554754793,0.21802206660832502,0.875046083377482,-0.49245359893933105,0.5402766476810414,0.7620973345989834,0.3298361543973336,0.12476495235503139,0.5183057168451021
price_momentum,Price Momentum,price,test_2022_2026,2022-01-03,2026-06-30,1097,2.8954404518459373,0.36666202298091344,0.3043313712994953,1.2048117859662848,-0.24600806308869927,0.5578851412944393,1.0798926181467858,0.8729045999099851,0.16545454169752496,1.0062198697153153
price_momentum,Price Momentum,price,full_2007_2026,2007-08-01,2026-06-30,4661,30.217148906909042,0.20446821386375902,0.24386186205197058,0.8384591675929376,-0.5191356762744397,0.5397983265393692,6.9401504405704895,2.9315563528121427,0.13578754787116806,0.6105993858659814
low_volatility,Low Volatility,defensive,train_2007_2016,2007-08-01,2016-12-29,2335,1.3438509459334091,0.09628613576281064,0.21507250931080202,0.4476915067916338,-0.4543614977551824,0.5319057815845825,1.1664961579396702,0.08186249827574255,0.08917453793713165,0.11807117054751923
low_volatility,Low Volatility,defensive,validation_2017_2021,2017-01-02,2021-12-30,1229,0.6033737177667475,0.1016440713304505,0.20721748098952134,0.49051880587039126,-0.5380849120191111,0.5394629780309195,0.7620973345989834,-0.09007653193480258,0.07982966458484043,-0.19308731018662026
low_volatility,Low Volatility,defensive,test_2022_2026,2022-01-03,2026-06-30,1097,0.30837666855771584,0.06369117120574086,0.24011750663682768,0.2652500107044353,-0.26827633388463545,0.5113947128532361,1.0798926181467858,-0.37094027973256705,0.10880053445969404,-0.9369805062484668
low_volatility,Low Volatility,defensive,full_2007_2026,2007-08-01,2026-06-30,4661,3.916969805066593,0.08992616373231277,0.21923763589806186,0.41017667137281766,-0.5380849120191119,0.5290710148036902,6.9401504405704895,-0.3807460145914673,0.09196875900675885,-0.24772502043370165
balanced_multifactor,Balanced Multi-Factor,multi_factor,train_2007_2016,2007-08-01,2016-12-29,2335,3.076287551410122,0.1637549889666119,0.2023774739403756,0.8091562058673454,-0.46791713172361493,0.553747323340471,1.1664961579396702,0.8815115533307274,0.09561025889761642,0.7070751714243898
balanced_multifactor,Balanced Multi-Factor,multi_factor,validation_2017_2021,2017-01-02,2021-12-30,1229,1.178248562002417,0.17307871642875838,0.19919219842279814,0.8689030885707069,-0.48196585479843046,0.549227013832384,0.7620973345989834,0.2361681271699676,0.0900440893410358,0.5080296989635141
balanced_multifactor,Balanced Multi-Factor,multi_factor,test_2022_2026,2022-01-03,2026-06-30,1097,1.8513128978493136,0.2721306941306727,0.24982184900106078,1.0892990153536057,-0.2700335975970296,0.5487693710118505,1.0798926181467858,0.37089428222014376,0.10924381427726573,0.7283976083856428
balanced_multifactor,Balanced Multi-Factor,multi_factor,full_2007_2026,2007-08-01,2026-06-30,4661,24.317284806837986,0.1909037445627475,0.2137185501688863,0.8932483605746441,-0.4819658547984307,0.5513838232139026,6.9401504405704895,2.1885144993573915,0.0976051625153325,0.6624351538096748
value_momentum_barbell,Value + Momentum Barbell,multi_factor,train_2007_2016,2007-08-01,2016-12-29,2335,2.9789537850548458,0.16072357626745126,0.21531894405243998,0.7464441968854711,-0.5008782540483093,0.5404710920770878,1.1664961579396702,0.8365847409758695,0.11046767144635242,0.6130170499470307
value_momentum_barbell,Value + Momentum Barbell,multi_factor,validation_2017_2021,2017-01-02,2021-12-30,1229,1.3099125474575821,0.18728055980552716,0.21147572711106488,0.885588915399115,-0.49593169823310757,0.5410903173311635,0.7620973345989834,0.31088816837877453,0.11115301764853998,0.5426515022722534
value_momentum_barbell,Value + Momentum Barbell,multi_factor,test_2022_2026,2022-01-03,2026-06-30,1097,2.0895273828333885,0.2957962929582152,0.2829192874981439,1.045514767034594,-0.23303505181707773,0.5578851412944393,1.0798926181467858,0.4854263897461215,0.14450982217219668,0.7397086851124867
value_momentum_barbell,Value + Momentum Barbell,multi_factor,full_2007_2026,2007-08-01,2026-06-30,4661,27.395955155153466,0.19831572374070672,0.23209348704126945,0.8544648377205148,-0.5008782540483093,0.5447328899377816,6.9401504405704895,2.5762490103541733,0.1195296329079974,0.627355147290792
quality_low_vol_defensive,Quality + Low Vol Defensive,defensive,train_2007_2016,2007-08-01,2016-12-29,2335,1.4301396371963326,0.10057196374037636,0.20549955496241154,0.4894023432740389,-0.4427868409363124,0.5374732334047109,1.1664961579396702,0.12169118246089417,0.07796373012861668,0.15902764177570375
quality_low_vol_defensive,Quality + Low Vol Defensive,defensive,validation_2017_2021,2017-01-02,2021-12-30,1229,0.7190232480021692,0.11748908031404293,0.19832671514559747,0.5924016854098084,-0.48222112039293263,0.5394629780309195,0.7620973345989834,-0.024444782788697106,0.07625432402689615,-0.03871245684280378
quality_low_vol_defensive,Quality + Low Vol Defensive,defensive,test_2022_2026,2022-01-03,2026-06-30,1097,0.7144861203239481,0.1318389891786511,0.2200857862673842,0.599034546549402,-0.23287119446341153,0.5314494074749316,1.0798926181467858,-0.17568527078499863,0.0875200682733523,-0.5077381721431456
quality_low_vol_defensive,Quality + Low Vol Defensive,defensive,full_2007_2026,2007-08-01,2026-06-30,4661,6.162208387629655,0.11231724457856895,0.20719062989309778,0.5420961586753235,-0.4822211203929334,0.5365801330186655,6.9401504405704895,-0.09797573216823585,0.07989423886319919,-0.06290620980286935
momentum_growth_aggressive,Momentum + Growth Aggressive,aggressive,train_2007_2016,2007-08-01,2016-12-29,2335,2.374011055955875,0.1402474469026771,0.2213564338903606,0.6335819765335695,-0.5139211807432111,0.5353319057815846,1.1664961579396702,0.5573584303812229,0.12233311714292576,0.4188541504519456
momentum_growth_aggressive,Momentum + Growth Aggressive,aggressive,validation_2017_2021,2017-01-02,2021-12-30,1229,1.138649264340668,0.1686740089134795,0.21302855769058865,0.791790597195276,-0.4944674994187196,0.5288852725793328,0.7620973345989834,0.2136953063534257,0.1182497496161454,0.3790214565998323
momentum_growth_aggressive,Momentum + Growth Aggressive,aggressive,test_2022_2026,2022-01-03,2026-06-30,1097,2.5488551306745686,0.3377188707106378,0.29399742093265224,1.1487137187778291,-0.2540453600429011,0.5660893345487694,1.0798926181467858,0.7062684389142404,0.15525865392787266,0.9142822451123517
momentum_growth_aggressive,Momentum + Growth Aggressive,aggressive,full_2007_2026,2007-08-01,2026-06-30,4661,24.60792205442974,0.19163891036055491,0.23848860553589696,0.8035558341662982,-0.5139211807432111,0.5408710577129371,6.9401504405704895,2.225117993178709,0.12986024985546052,0.5459419110156749
ml_predicted_return,ML Predicted Return,machine_learning,train_2007_2016,2007-08-01,2016-12-29,2335,3.702224335309255,0.18183523784471478,0.2461721639168458,0.73865068637954,-0.5285700163472463,0.545610278372591,1.1664961579396702,1.1704281902724687,0.09595163933893476,0.9685121988702448
ml_predicted_return,ML Predicted Return,machine_learning,validation_2017_2021,2017-01-02,2021-12-30,1229,1.3962241149193706,0.19624492581007313,0.22850768172166888,0.858811066356653,-0.4722911752361021,0.54759967453214,0.7620973345989834,0.359870461108609,0.09914470102631287,0.7223987076949289
ml_predicted_return,ML Predicted Return,machine_learning,test_2022_2026,2022-01-03,2026-06-30,1097,2.383307187113969,0.3231191134691924,0.27875214920943653,1.1591627701726575,-0.27605454009798924,0.5524156791248861,1.0798926181467858,0.6266739722979278,0.12509944358311545,1.011442400118507
ml_predicted_return,ML Predicted Return,machine_learning,full_2007_2026,2007-08-01,2026-06-30,4661,37.1216957160248,0.21755084138058556,0.24985002022260122,0.8707257305273017,-0.5285700163472463,0.5477365372237717,6.9401504405704895,3.801130155071194,0.10435002424727147,0.9125052177486669
