date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2007-02-06,090430,,55214,55514,53213,53713,53713,277647,14878267000,,,,
2007-02-07,090430,,53113,54814,53113,54314,54314,66582,3622176000,,,,
2007-02-08,090430,,54314,55014,54314,55014,55014,31711,1736903000,,,,
2007-02-09,090430,,55414,55914,54914,55814,55814,24163,1344315000,,,,
2007-02-12,090430,,55914,55914,54614,55814,55814,49237,2715004000,,,,
2007-02-13,090430,,55514,56014,55414,55614,55614,241617,13487885000,,,,
2007-02-14,090430,,56514,56914,56214,56614,56614,57385,3247121000,,,,
2007-02-15,090430,,57114,57715,56514,57715,57715,70161,4013316000,,,,
2007-02-16,090430,,57715,57715,56514,57614,57614,65063,3701450000,,,,
2007-02-20,090430,,57014,57815,57014,57815,57815,38469,2209834051,,,,
2007-02-21,090430,,57314,57514,56814,56914,56914,122008,6945984842,,,,
2007-02-22,090430,,56414,56914,55114,56914,56914,157509,8768569816,,,,
2007-02-23,090430,,56314,57214,55014,55314,55314,96005,5316442000,,,,
2007-02-26,090430,,54814,55714,54814,55414,55414,69042,3810865000,,,,
2007-02-27,090430,,55114,55614,55014,55414,55414,51566,2844824000,,,,
2007-02-28,090430,,54014,55414,53914,55414,55414,85007,4641078096,,,,
2007-03-02,090430,,55114,56114,54614,55014,55014,91876,5070138000,,,,
2007-03-05,090430,,54314,54514,53213,53213,53213,93045,4993802000,,,,
2007-03-06,090430,,53113,53914,52313,53914,53914,201847,10712825000,,,,
2007-03-07,090430,,53513,54514,53413,53914,53914,114660,6172530000,,,,
2007-03-08,090430,,54414,54614,54014,54514,54514,99364,5402084000,,,,
2007-03-09,090430,,54514,54814,54114,54814,54814,126867,6915016000,,,,
2007-03-12,090430,,54514,54614,54314,54414,54414,44428,2420903000,,,,
2007-03-13,090430,,54414,54414,53613,54014,54014,60044,3234589000,,,,
2007-03-14,090430,,53513,54014,52213,52213,52213,155779,8263008000,,,,
2007-03-15,090430,,52513,53513,52513,52713,52713,93665,4955022000,,,,
2007-03-16,090430,,52613,53013,51813,52913,52913,99654,5197606000,,,,
2007-03-19,090430,,52513,54314,52513,54314,54314,95255,5061802000,,,,
2007-03-20,090430,,54114,54114,53113,53413,53413,42958,2297519000,,,,
2007-03-21,090430,,53013,53113,52113,52213,52213,177983,9308788000,,,,
2007-03-22,090430,,51713,52913,51713,52313,52313,69711,3644291000,,,,
2007-03-23,090430,,52313,52613,52213,52313,52313,78059,4087315000,,,,
2007-03-26,090430,,52413,53113,52213,52813,52813,66842,3523680000,,,,
2007-03-27,090430,,53013,54314,53013,54014,54014,94885,5113074000,,,,
2007-03-28,090430,,53713,54014,51913,51913,51913,504158,26270523000,,,,
2007-03-29,090430,,51913,52013,50713,51813,51813,205876,10591967000,,,,
2007-03-30,090430,,51813,51813,50613,51813,51813,199038,10148996000,,,,
2007-04-02,090430,,51813,52113,51613,51713,51713,69631,3616550950,,,,
2007-04-03,090430,,51413,51713,51213,51213,51213,108151,5553180000,,,,
2007-04-04,090430,,51713,51813,51213,51513,51513,121958,6274399000,,,,
2007-04-05,090430,,51613,51913,51513,51513,51513,51096,2634252000,,,,
2007-04-06,090430,,51513,51713,51213,51513,51513,79209,4070517000,,,,
2007-04-09,090430,,51513,52013,51313,51413,51413,72811,3743492236,,,,
2007-04-10,090430,,51613,52013,51413,51913,51913,165886,8584265000,,,,
2007-04-11,090430,,52813,52813,51713,52513,52513,169985,8870689000,,,,
2007-04-12,090430,,52513,54014,52313,53113,53113,325155,17281523100,,,,
2007-04-13,090430,,53013,53613,53013,53213,53213,82628,4397748000,,,,
2007-04-16,090430,,53213,54214,52713,54014,54014,99294,5337945000,,,,
2007-04-17,090430,,53713,56714,53713,55514,55514,191120,10594914000,,,,
2007-04-18,090430,,56414,57214,55514,56914,56914,103273,5836563000,,,,
2007-04-19,090430,,56914,56914,55614,56414,56414,63133,3554318000,,,,
2007-04-20,090430,,55914,57915,55914,57915,57915,66822,3846152000,,,,
2007-04-23,090430,,58015,60015,57715,58715,58715,113090,6651200000,,,,
2007-04-24,090430,,59715,60515,58815,60315,60315,67252,4026198000,,,,
2007-04-25,090430,,60615,60615,58615,59015,59015,78919,4662015000,,,,
2007-04-26,090430,,59015,59315,58915,59115,59115,63103,3725858000,,,,
2007-04-27,090430,,59815,59815,58715,59315,59315,74120,4380560000,,,,
2007-04-30,090430,,59815,61415,59515,60215,60215,195839,11774406000,,,,
2007-05-02,090430,,60415,60815,60215,60615,60615,66202,4005903000,,,,
2007-05-03,090430,,60615,60815,60015,60715,60715,187211,10991105600,,,,
2007-05-04,090430,,60815,62016,60515,62016,62016,84428,5144658000,,,,
2007-05-07,090430,,62416,65116,62416,64916,64916,119668,7600229000,,,,
2007-05-08,090430,,65316,66217,64016,65016,65016,86147,5588605000,,,,
2007-05-09,090430,,65917,65917,64016,65417,65417,100033,6520341000,,,,
2007-05-10,090430,,66017,68217,65517,65517,65517,99554,6652093000,,,,
2007-05-11,090430,,65016,67017,64816,66217,66217,230710,15271952000,,,,
2007-05-14,090430,,67217,67217,65917,66617,66617,269899,17936997000,,,,
2007-05-15,090430,,65617,67517,65517,67317,67317,352758,23653973000,,,,
2007-05-16,090430,,68617,68617,66817,68617,68617,366424,24861980000,,,,
2007-05-17,090430,,70018,71018,67617,69017,69017,142472,9879498000,,,,
2007-05-18,090430,,68517,69918,68417,69117,69117,57914,3999079000,,,,
2007-05-21,090430,,68217,70618,68217,70018,70018,69431,4804700000,,,,
2007-05-22,090430,,69217,69918,66617,67917,67917,269939,18289081480,,,,
2007-05-23,090430,,66817,67917,64316,65216,65216,210425,13740065000,,,,
2007-05-25,090430,,65116,67117,64616,66817,66817,258862,17157227000,,,,
2007-05-28,090430,,67617,71218,67617,70718,70718,108891,7647971000,,,,
2007-05-29,090430,,73319,80020,72718,75019,75019,182472,13508372000,,,,
2007-05-30,090430,,77320,77720,70918,75019,75019,599264,44071397194,,,,
2007-05-31,090430,,74819,78020,74319,78020,78020,117039,8967760000,,,,
2007-06-01,090430,,77920,77920,73619,74319,74319,112730,8429401000,,,,
2007-06-04,090430,,73119,73819,69518,71218,71218,346549,24577426000,,,,
2007-06-05,090430,,69518,71918,69318,69518,69518,86407,6059236000,,,,
2007-06-07,090430,,69918,71318,69618,70018,70018,204656,14329616000,,,,
2007-06-08,090430,,68717,70018,68517,69518,69518,182902,12756459132,,,,
2007-06-11,090430,,69618,71218,68017,70018,70018,141943,9910690000,,,,
2007-06-12,090430,,69117,71318,69117,69518,69518,271409,18982665481,,,,
2007-06-13,090430,,69418,70118,67617,68917,68917,106572,7327256000,,,,
2007-06-14,090430,,68017,73719,67917,73719,73719,241387,16960624000,,,,
2007-06-15,090430,,73419,73419,70818,72018,72018,80788,5809084000,,,,
2007-06-18,090430,,72018,72518,70018,71118,71118,115979,8249499292,,,,
2007-06-19,090430,,71118,71718,70118,71118,71118,74680,5311188000,,,,
2007-06-20,090430,,70718,73219,70618,72218,72218,240857,17293865460,,,,
2007-06-21,090430,,71118,74019,71118,72018,72018,127746,9202973196,,,,
2007-06-22,090430,,70918,70918,70018,70018,70018,87397,6149353000,,,,
2007-06-25,090430,,70018,72918,70018,72818,72818,46607,3369349000,,,,
2007-06-26,090430,,73219,73219,72018,72518,72518,63153,4567183468,,,,
2007-06-27,090430,,73018,73219,70518,71618,71618,59624,4251196000,,,,
2007-06-28,090430,,72818,72818,70718,70718,70718,71071,5075823000,,,,
2007-06-29,090430,,71318,73219,70618,73219,73219,136324,9809928000,,,,
2007-07-02,090430,,72918,72918,71018,71518,71518,83118,5940091000,,,,
2007-07-03,090430,,71518,71918,70018,70018,70018,240117,17022501000,,,,
2007-07-04,090430,,70118,71518,68317,71318,71318,180573,12536432000,,,,
2007-07-05,090430,,70318,71218,69618,69618,69618,39219,2753410000,,,,
2007-07-06,090430,,70018,70018,67417,68517,68517,113750,7772622000,,,,
2007-07-09,090430,,68817,69318,67617,67717,67717,90876,6180016000,,,,
2007-07-10,090430,,68117,68817,66417,66417,66417,131075,8843519000,,,,
2007-07-11,090430,,65917,69518,65116,68117,68117,209135,13917823000,,,,
2007-07-12,090430,,68417,68817,66217,67317,67317,117049,7850580200,,,,
2007-07-13,090430,,68517,68517,67217,67217,67217,73310,4966893000,,,,
2007-07-16,090430,,66317,67317,65517,65617,65617,147571,9765793000,,,,
2007-07-18,090430,,66517,66517,63916,63916,63916,193679,12634688000,,,,
2007-07-19,090430,,64316,65016,64016,64616,64616,86357,5577786000,,,,
2007-07-20,090430,,64016,65016,63916,65016,65016,139073,8991132000,,,,
2007-07-23,090430,,65016,66817,64516,66817,66817,118939,7766338000,,,,
2007-07-24,090430,,68117,68217,66517,67317,67317,177803,11977768000,,,,
2007-07-25,090430,,67317,67617,65417,65417,65417,108131,7195880000,,,,
2007-07-26,090430,,65517,67517,65517,66817,66817,85827,5744871000,,,,
2007-07-27,090430,,67017,67017,64616,65016,65016,198008,12983995760,,,,
2007-07-30,090430,,65016,66717,62916,66717,66717,171525,11016295620,,,,
2007-07-31,090430,,66817,66817,65316,66217,66217,35710,2363930000,,,,
2007-08-01,090430,,66117,66117,64016,64716,64716,78179,5048197600,,,,
2007-08-02,090430,,64116,65517,61716,62516,62516,81458,5172007000,,,,
2007-08-03,090430,,62516,65417,62516,65417,65417,54485,3507800000,,,,
2007-08-06,090430,,64316,64916,62116,63416,63416,54695,3450766000,,,,
2007-08-07,090430,,63416,64116,61616,61616,61616,158568,9855252000,,,,
2007-08-08,090430,,62216,62816,61415,62516,62516,329424,20483775000,,,,
2007-08-09,090430,,62116,62316,60715,61215,61215,111800,6838858000,,,,
2007-08-10,090430,,60015,60815,59515,59515,59515,69521,4153288000,,,,
2007-08-13,090430,,59615,60115,58615,59315,59315,43138,2554966000,,,,
2007-08-14,090430,,59415,61616,59115,61515,61515,142003,8549307000,,,,
2007-08-16,090430,,59515,60015,55114,55114,55114,203966,11627887000,,,,
