ticker,signal_date,return_6m,return_12m_ex_1m,return_6m_momentum_z,return_12m_ex_1m_momentum_z,momentum_score,volatility_1y,max_drawdown_1y,volatility_1y_low_volatility_z,max_drawdown_1y_low_volatility_z,low_volatility_score,composite_score,composite_weight_coverage,factor_scope
029780,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
030000,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
030200,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
032640,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
032830,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
033780,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034020,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034220,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034230,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034730,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
035250,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
035420,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
035720,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
036460,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
036570,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
039490,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
042660,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
042700,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
047040,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
047050,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
047810,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
051600,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
051900,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
051910,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
052690,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
055550,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
064350,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
066570,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
066970,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
068270,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
069260,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
069620,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
069960,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
071050,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
071320,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
071970,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
073240,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
078930,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
079550,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
081660,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
082740,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
086280,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
086790,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
088350,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
090430,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
093370,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
096770,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
097950,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
103140,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
105560,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
111770,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
112610,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
120110,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
128940,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
137310,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
138040,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
138930,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
139130,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
139480,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
161390,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
161890,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
175330,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
180640,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
185750,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
192080,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
192820,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
204320,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
207940,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
241560,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
251270,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
259960,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
267250,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
267260,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
267270,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
268280,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
271560,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
272210,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
280360,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
282330,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
285130,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
298020,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
298040,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
298050,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
300720,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
302440,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
307950,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
316140,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
323410,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
326030,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
329180,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
352820,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
361610,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
373220,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
375500,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
377300,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
383220,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
402340,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000080,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000100,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000120,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000150,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000210,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000240,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000270,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000660,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000670,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000720,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000810,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000880,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000990,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001040,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001430,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001440,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001450,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001680,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001800,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002030,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002380,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002790,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002840,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003030,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003090,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003230,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003240,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003490,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003550,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003670,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004000,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004020,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004170,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004370,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004990,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005300,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005380,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005420,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005490,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005830,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005850,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005930,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005940,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006040,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006260,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006280,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006400,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006650,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006800,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
007070,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
007310,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
007340,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
007660,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
008730,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
008770,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
008930,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
009150,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
009240,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
009420,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
009540,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
009830,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
009970,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
010060,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
010120,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
010130,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
010140,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
010950,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011070,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011170,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011200,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011210,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011780,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011790,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
012330,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
012450,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
012750,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
014680,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
014820,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
015760,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
016360,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
017670,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
017800,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
017960,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
018260,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
018880,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
021240,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
022100,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
023530,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
024110,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
026960,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
028050,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
028260,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
028670,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
029780,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
030000,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
030200,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
032640,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
032830,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
033780,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034020,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034220,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034230,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
034730,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
035250,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
035420,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
035720,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
036460,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
036570,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
039490,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
042660,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
042700,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
047040,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
047050,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
047810,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
051600,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
051900,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
051910,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
052690,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
055550,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
064350,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
066570,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
066970,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
068270,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
069260,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
069620,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
069960,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
071050,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
071320,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
071970,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
073240,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
078930,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
079550,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
081660,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
082740,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
086280,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
086790,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
088350,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
090430,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
093370,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
096770,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
097950,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
103140,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
105560,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
111770,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
112610,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
120110,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
128940,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
137310,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
138040,2023-02-28,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
