ticker,signal_date,return_6m,return_12m_ex_1m,momentum_score,volatility_1y,max_drawdown_1y,low_volatility_score,name,available_date,fiscal_period,value_score,quality_score,composite_score,composite_weight_coverage,factor_scope
316140,2023-01-31,,,,,,,(주)우리금융지주,2022-03-31,2021-12,0.4865081879099494,0.1523334424756632,0.3042310540367023,0.55,integrated_value_quality_momentum_low_volatility
138930,2023-01-31,,,,,,,(주)BNK금융지주,2022-03-31,2021-12,0.4776144275717633,0.1570431456137441,0.30275736468557096,0.55,integrated_value_quality_momentum_low_volatility
111770,2023-01-31,,,,,,,(주)영원무역,2022-03-31,2021-12,0.2078716024708666,0.3644041904639092,0.29325301410343524,0.55,integrated_value_quality_momentum_low_volatility
017670,2023-01-31,,,,,,,에스케이텔레콤(주),2022-03-31,2021-12,0.3010060865484761,0.2846173102627224,0.29206675402897403,0.55,integrated_value_quality_momentum_low_volatility
012330,2023-01-31,,,,,,,현대모비스(주),2022-03-31,2021-12,0.3138725562911811,0.2671969055861237,0.28841311045205886,0.55,integrated_value_quality_momentum_low_volatility
267270,2023-01-31,,,,,,,에이치디현대건설기계(주),2022-03-31,2021-12,0.4827095717838153,0.1208011563383569,0.28530498154083794,0.55,integrated_value_quality_momentum_low_volatility
006040,2023-01-31,,,,,,,동원산업(주),2022-03-31,2021-12,0.350822639432805,0.2304622429711965,0.28517151409010943,0.55,integrated_value_quality_momentum_low_volatility
000720,2023-01-31,,,,,,,현대건설(주),2022-03-31,2021-12,0.3517769971886811,0.2279052575464852,0.28421059374748325,0.55,integrated_value_quality_momentum_low_volatility
010060,2023-01-31,,,,,,,오씨아이홀딩스(주),2022-03-31,2021-12,0.3326186745566943,0.2428601175676356,0.28365946165357137,0.55,integrated_value_quality_momentum_low_volatility
028260,2023-01-31,,,,,,,삼성물산(주),2022-03-31,2021-12,0.4120383343351756,0.1763960782783164,0.28350619466779786,0.55,integrated_value_quality_momentum_low_volatility
105560,2023-01-31,,,,,,,(주)KB금융지주,2022-03-31,2021-12,0.3112514782391232,0.2582647916456373,0.2823496491881309,0.55,integrated_value_quality_momentum_low_volatility
005930,2023-01-31,,,,,,,삼성전자(주),2022-03-31,2021-12,-0.2076435525494418,0.6896383578747144,0.2817829440455525,0.55,integrated_value_quality_momentum_low_volatility
005300,2023-01-31,,,,,,,롯데칠성음료(주),2022-03-31,2021-12,0.3727491659156489,0.2056214891401462,0.28158861494719284,0.55,integrated_value_quality_momentum_low_volatility
096770,2023-01-31,,,,,,,에스케이이노베이션(주),2022-03-31,2021-12,0.1767970876924975,0.3642532044220086,0.27904587863586716,0.55,integrated_value_quality_momentum_low_volatility
011070,2023-01-31,,,,,,,엘지이노텍(주),2022-03-31,2021-12,-0.2204033465292901,0.6871469668029586,0.2746240971064819,0.55,integrated_value_quality_momentum_low_volatility
051600,2023-01-31,,,,,,,한전케이피에스(주),2022-03-31,2021-12,0.1360865433911261,0.386341768538023,0.27258939347125166,0.55,integrated_value_quality_momentum_low_volatility
000270,2023-01-31,,,,,,,기아(주),2022-03-31,2021-12,0.2351901677412625,0.300453689447591,0.27078845230835075,0.55,integrated_value_quality_momentum_low_volatility
071050,2023-01-31,,,,,,,한국투자금융지주(주),2022-03-31,2021-12,0.2988987508240929,0.2457069320425239,0.2698850314886916,0.55,integrated_value_quality_momentum_low_volatility
009830,2023-01-31,,,,,,,한화솔루션(주),2022-03-31,2021-12,0.3818805791457442,0.1629825290126966,0.2624816427095364,0.55,integrated_value_quality_momentum_low_volatility
002030,2023-01-31,,,,,,,아세아(주),2022-03-31,2021-12,0.3708296645220012,0.1688457339336138,0.2606566114737899,0.55,integrated_value_quality_momentum_low_volatility
000240,2023-01-31,,,,,,,한국앤컴퍼니(주),2022-03-31,2021-12,0.4053725802106041,0.1258982948104646,0.2529320609014371,0.55,integrated_value_quality_momentum_low_volatility
034730,2023-01-31,,,,,,,에스케이(주),2022-03-31,2021-12,0.2889578597056149,0.2167396892930474,0.249566130389669,0.55,integrated_value_quality_momentum_low_volatility
007310,2023-01-31,,,,,,,(주)오뚜기,2022-03-31,2021-12,0.2470785683120229,0.2425140712874158,0.24458884266223715,0.55,integrated_value_quality_momentum_low_volatility
002840,2023-01-31,,,,,,,미원상사(주),2022-03-31,2021-12,-0.4649375435952014,0.8138499430030073,0.23258290364018516,0.55,integrated_value_quality_momentum_low_volatility
009150,2023-01-31,,,,,,,삼성전기(주),2022-03-31,2021-12,-0.2666334374885823,0.6443384094962502,0.23026029723041724,0.55,integrated_value_quality_momentum_low_volatility
272210,2023-01-31,,,,,,,한화시스템(주),2022-03-31,2021-12,0.1598854010880301,0.279605677748891,0.22518737017577237,0.55,integrated_value_quality_momentum_low_volatility
004370,2023-01-31,,,,,,,(주)농심,2022-03-31,2021-12,0.236241221190292,0.214184312110543,0.22421017987406527,0.55,integrated_value_quality_momentum_low_volatility
120110,2023-01-31,,,,,,,코오롱인더스트리(주),2022-03-31,2021-12,0.3027991419224671,0.1555980925469355,0.2225076604449044,0.55,integrated_value_quality_momentum_low_volatility
003490,2023-01-31,,,,,,,(주)대한항공,2022-03-31,2021-12,0.1778918299201015,0.2564667012269986,0.22075085063295444,0.55,integrated_value_quality_momentum_low_volatility
012750,2023-01-31,,,,,,,(주)에스원,2022-03-31,2021-12,-0.0427786025107836,0.4359538698738536,0.2183482006081094,0.55,integrated_value_quality_momentum_low_volatility
011210,2023-01-31,,,,,,,현대위아(주),2022-03-31,2021-12,0.3720584724287075,0.0853805377502955,0.2156886898768464,0.55,integrated_value_quality_momentum_low_volatility
000080,2023-01-31,,,,,,,하이트진로(주),2022-03-31,2021-12,-0.0709534983488108,0.4526779047610358,0.2146636306201964,0.55,integrated_value_quality_momentum_low_volatility
003230,2023-01-31,,,,,,,삼양식품(주),2022-03-31,2021-12,0.0352746073503965,0.3631129175375379,0.21409550381610995,0.55,integrated_value_quality_momentum_low_volatility
300720,2023-01-31,,,,,,,한일시멘트(주),2022-03-31,2021-12,0.2269109971771347,0.1963473322531733,0.21023990721861027,0.55,integrated_value_quality_momentum_low_volatility
006280,2023-01-31,,,,,,,(주)녹십자,2022-03-31,2021-12,-0.0173740358806872,0.3722346890111873,0.19513981406033523,0.55,integrated_value_quality_momentum_low_volatility
