ticker,name,analyst_sector,valuation_family,sector_source,confidence,kospi200_sector,dart_sector,dart_industry_code,ts2000_sector,override_sector,override_note
055550,Shinhan Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
071050,Korea Investment,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,Financials,64992,,,
086790,Hana Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
088350,Hanwha Life,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
105560,KB Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
138040,Meritz Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
138930,BNK Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,Financials,64992,,,
139130,IM Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,Financials,64992,,,
175330,JB Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,Financials,64992,,,
316140,Woori Financial,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,Financials,64992,,,
323410,KakaoBank,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
377300,KakaoPay,Financials,pbr_roe_capital_return,kospi200_constituent,0.85,Financials,,,,,
017670,SK Telecom,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
030000,Cheil Worldwide,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
030200,KT,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
032640,LG Uplus,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
035420,Naver,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
035720,Kakao,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
036570,NC,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
251270,Netmarble,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
259960,Krafton,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,Gaming & Internet,5821,,,
352820,Hybe,Gaming & Internet,per_pipeline_psr,kospi200_constituent,0.85,Communication Services,,,,,
000660,SK Hynix,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,IT Hardware & Components,2612,,,
000990,DB HiTek,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,IT Hardware & Components,2611,,,
003550,LG,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
005930,Samsung Electronics,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,IT Hardware & Components,264,,,
006400,Samsung SDI,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
007660,Isu Petasys,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
009150,Samsung Electro-Mechanics,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,IT Hardware & Components,2622,,,
011070,LG Innotek,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,IT Hardware & Components,262,,,
018260,Samsung SDS,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
022100,POSCO DX,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
034220,LG Display,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
042700,Hanmi Semiconductor,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
064400,LG CNS,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
066570,LG Electronics,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,IT Hardware & Components,264,,,
307950,Hyundai AutoEver,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,,,,,
402340,SK Square,IT Hardware & Components,forward_per_margin_cycle,kospi200_constituent,0.85,IT,Financials,64992,,,
000120,CJ Logistics,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,Logistics,493,,,
000150,Doosan,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
