ticker,company_name,years,first_year,last_year,avg_labor_share,avg_payout_share,avg_dividend_share,avg_buyback_share,avg_value_added_trn,latest_labor_share,latest_payout_share,shareholder_over_labor_tilt,payout_to_labor_ratio
002810,삼영무역(주),16,2010,2025,0.44138747247850363,0.5180649481191839,0.4535456834285236,0.04525539722569693,0.012389511249999987,0.5582566906500913,0.9416237548396335,0.07667747564068028,1.173719193275053
079900,전진건설로봇(주),11,2015,2025,0.28054175240089335,0.3528144144682579,0.27764233218506384,0.03684205547527478,0.0386049509090909,0.2870776591148348,0.1758364089244384,0.07227266206736455,1.257618202812418
084690,대상홀딩스(주),16,2010,2025,0.41628875963306744,0.4832639277945319,0.48027746111555364,0.0,0.017699476874999974,0.4462687481200705,0.3771511891304634,0.06697516816146448,1.1608863237635791
112610,씨에스윈드(주),13,2010,2025,0.2886948987623663,0.35422457773391464,0.30745415555459227,0.046770422179322396,0.04292544615384613,0.2025070552200249,0.4340085432443486,0.06552967897154832,1.2269859261541294
002790,(주)아모레퍼시픽홀딩스,15,2010,2025,0.5202660679681642,0.577072380236814,0.5070013118049992,0.05136550903704773,0.06787940599999999,0.3081486438113945,0.6804235222589772,0.05680631226864974,1.1091870405665698
058650,(주)세아홀딩스,11,2014,2025,0.18469262105318432,0.23647140802715058,0.2315869677387689,0.004884440288381627,0.050477898181818165,0.217849179237492,0.3529781917125336,0.05177878697396626,1.280351140607052
012630,에이치디씨(주),15,2010,2025,0.23366834236748604,0.25852110388383115,0.16937739772318325,0.07656253949050648,0.26614624333333337,0.0577800015458065,0.2617012937978211,0.024852761516345107,1.1063591296302329
192080,(주)더블유게임즈,11,2015,2025,0.2696216376819271,0.28922197935002225,0.15561224006560923,0.10980598355427153,0.09704610909090908,0.4945742562975008,0.6111393434195944,0.019600341668095156,1.072695729603192
068270,(주)셀트리온,16,2010,2025,0.1970412240535424,0.20900672030772283,0.033369591123685545,0.13710594533455533,0.72881492375,0.2410070899471463,0.6636311286492264,0.011965496254180419,1.0607258522253649
002450,(주)삼익악기,16,2010,2025,0.25021383262651614,0.2540272935848067,0.19723128433493303,0.0567960092498736,0.021565189999999974,0.2556298638132296,0.2982259633488138,0.0038134609582905488,1.0152408079052238
086280,현대글로비스(주),16,2010,2025,0.08787655990810489,0.08561777018290197,0.08561777018290197,0.0,1.61454321375,0.0957490773243136,0.1289986833949549,-0.0022587897252029226,0.9742958790425456
001630,(주)종근당홀딩스,15,2010,2025,0.2956512269231852,0.2922774440932475,0.24569082815620868,0.04658661593703877,0.05203985266666665,0.2815013639518133,0.2482709307839621,-0.003373782829937666,0.9885886391710654
006840,에이케이홀딩스(주),15,2010,2025,0.25796549435986127,0.25157829522340736,0.24109914138982566,0.0,0.02928547599999998,0.2947354110867625,0.0,-0.006387199136453914,0.975240102742021
096770,에스케이이노베이션(주),16,2010,2025,0.3099853343472332,0.3008238332640644,0.22348671833705971,0.06630221285896522,1.623722994375,0.1268532691795507,0.0,-0.009161501083168766,0.9704453725126673
034310,(주)나이스홀딩스,11,2013,2025,0.4990648299000346,0.4841558682695306,0.46828871495800256,0.0,0.0238162518181818,0.4384094919495253,0.7169606409029015,-0.01490896163050398,0.970126202574743
069260,티케이지휴켐스(주),16,2010,2025,0.26112101985494734,0.24465777459011923,0.2139735102325542,0.030684264357565,0.16159527187499997,0.3071018074987368,0.2116556143443735,-0.01646324526482812,0.9369516660360263
016800,(주)퍼시스,16,2010,2025,0.2500748161290186,0.23037405590897664,0.14825694665316605,0.07731071759311454,0.05813053124999996,0.2210080357275098,0.1425200463188653,-0.01970076022004197,0.9212205350182965
000240,한국앤컴퍼니(주),15,2010,2025,0.33669920359384076,0.30279462715541167,0.2911505962275431,8.118499414653334e-06,0.27927361733333333,0.4231507507541834,0.2102319657898034,-0.03390457643842909,0.8993030690998364
180640,(주)한진칼,10,2014,2025,0.1689293702002538,0.1294026811384829,0.12158504145490039,0.00781763968358251,0.17394970099999996,0.5028118349190792,0.1546574224107485,-0.0395266890617709,0.7660164776858234
006120,에스케이디스커버리(주),15,2010,2025,0.34746960538860333,0.3033910256998782,0.22647826228802476,0.09010721447374734,0.14129391,0.1158976702135223,0.6239859232529849,-0.04407857968872514,0.8731440707182762
017670,에스케이텔레콤(주),14,2012,2025,0.16268100767319832,0.11853307375174209,0.09944072623954693,0.019092347512195147,4.833048637857142,0.244166832175656,0.0,-0.04414793392145623,0.7286226920222747
002020,(주)코오롱,15,2010,2025,0.23305552006878075,0.1833956577436785,0.1830229976426901,0.0003726601009884,0.04803943666666665,0.1463584516599054,0.1043147261843969,-0.04965986232510225,0.7869183175303193
007700,(주)에프앤에프홀딩스,16,2010,2025,0.23167588534106884,0.1807215638924706,0.17766959550878897,0.0030519683836816376,0.07452460374999999,0.0577800015458065,0.5188148785940677,-0.05095432144859824,0.7800620406669246
000070,(주)삼양홀딩스,14,2010,2024,0.26883432791422884,0.2144284457870939,0.21418730403397207,0.00024114175312184286,0.10522250714285715,0.3946540726456164,0.1883322003800691,-0.05440588212713493,0.7976230098691376
089860,롯데렌탈(주),12,2014,2025,0.07561897904469196,0.013330428830800108,0.012720101200415777,0.0006103276303843333,1.0328829075000001,0.0879422564958075,0.030660304192186,-0.062288550213891854,0.17628416832924473
003300,한일홀딩스(주),15,2010,2025,0.4111065719072423,0.348758418250377,0.32226428363621945,0.029217834175104422,0.101582284,0.0859404350417053,0.5681244589434595,-0.0623481536568653,0.8483406544254105
005250,(주)녹십자홀딩스,13,2013,2025,0.34490307716973767,0.2820204249683736,0.2748613997781123,0.0071590251902613,0.07018085615384616,1.0251547611207092,0.5946194204543324,-0.06288265220136408,0.8176802227530793
003650,미창석유공업(주),16,2010,2025,0.1939328077695996,0.13034446062037408,0.08972535402144864,0.04061910659892542,0.044501487499999985,0.0922502550425739,0.0530932415597827,-0.06358834714922551,0.6721114499369742
025530,(주)에스제이엠홀딩스,16,2010,2025,0.4726148885711963,0.4001578644986888,0.3860959276254359,0.0,0.007875399999999994,0.1354907184490931,0.3292934280263084,-0.07245702407250754,0.8466890785189634
